ASIN,itemID,clothesType
6041006041,1,1
978980539X,2,1
B0000ANDU4,3,2
B0000AT7N2,4,2
B0000AU640,5,2
B0000AUF5F,6,2
B0000AWHQ4,7,2
B0000AWKC7,8,2
B0000AWM3B,9,1
B0000BNFAN,10,2
B0000BNGCD,11,2
B0000BRNB5,12,2
B0000C3ACI,13,2
B0000CB9A6,14,2
B0000CB9TZ,15,2
B0000DZJMH,16,2
B0000TW41Y,17,2
B0000TW4EG,18,2
B0000VC1OC,19,1
B000A09GRI,20,2
B000A131D2,21,1
B000A1G7FQ,22,1
B000A2BIS6,23,1
B000A2CQZ0,24,1
B000A33EPK,25,1
B000A34LKW,26,1
B000A3844G,27,1
B000A384QY,28,1
B000A38BGM,29,2
B000A38CCK,30,2
B000A38CJ8,31,2
B000A38CXY,32,2
B000A38DY2,33,2
B000A38FYU,34,1
B000A38HH0,35,1
B000A38Y28,36,1
B000A7X9SS,37,1
B000A8M5X2,38,2
B000AAS3OK,39,1
B000AATRB8,40,1
B000AEJNEA,41,1
B000AEJNMC,42,1
B000AELTGU,43,2
B000AIF1YW,44,1
B000AIHM0S,45,1
B000ALEHDU,46,1
B000ALY30W,47,1
B000AMETFU,48,1
B000ANZF0M,49,1
B000AO0KZ6,50,2
B000ARJF7W,51,1
B000ARLYDU,52,1
B000AT8GEI,53,1
B000ATHUF4,54,1
B000AXQVPU,55,1
B000AY0T4I,56,1
B000AYA0V0,57,1
B000AYDBP2,58,2
B000B52RI2,59,1
B000B65MNI,60,1
B000B6NTAG,61,1
B000B7MG5Y,62,1
B000B7OZMG,63,1
B000B8K8TO,64,1
B000B8K9MK,65,1
B000B8VVIG,66,1
B000BB7EK2,67,1
B000BBABAM,68,1
B000BCIK54,69,1
B000BD5C72,70,1
B000BDD63Y,71,2
B000BDDFWQ,72,1
B000BDG1D6,73,1
B000BFH7FA,74,1
B000BH28IO,75,1
B000BI2PVI,76,1
B000BI2QI0,77,1
B000BI4DIG,78,1
B000BI4DVS,79,1
B000BI81SO,80,1
B000BKBI14,81,1
B000BKBWYW,82,1
B000BKIAXS,83,1
B000BM6B78,84,1
B000BMAL4W,85,1
B000BN4L0Q,86,1
B000BNGZK0,87,1
B000BNM66W,88,1
B000BNQLMC,89,1
B000BNSGL6,90,1
B000BNXVRA,91,1
B000BNXZ80,92,1
B000BNZDJY,93,1
B000BPOBPO,94,1
B000BPUW3O,95,1
B000BPWTWQ,96,1
B000BQ1HNC,97,1
B000BQ4NEC,98,1
B000BRELWA,99,1
B000BRRL4U,100,1
B000BRSWT8,101,2
B000BRUI8Q,102,2
B000BT2JNQ,103,1
B000BT2SXC,104,1
B000BT4UBU,105,1
B000BTMC74,106,1
B000BTMD14,107,1
B000BTOBMI,108,1
B000BTODN0,109,1
B000BTU78U,110,1
B000BUBJQI,111,1
B000BUDM54,112,1
B000BUNGNW,113,1
B000BVFRMO,114,1
B000BW3XSI,115,1
B000BW91TI,116,1
